blood_group,user_id,company,registration,address,ssn,username,name,mail,station_ID,longitude,latitude
B-,2037,Textor,2022-11-26,"Jolanthe-Geisler-Straße 41-63, 97271 Freudenstadt",885-50-7237,hans-heinrichspiess,Dogan Bloch,wolfgangweihmann@gmail.com,707,-5.785779,174.883338
O+,1774,Casa Grande - ME,2024-09-02,,21437685080,ocardoso,Alexia Rodrigues,evelynmartins@bol.com.br,675,-81.8264885,22.642764
B+,1618,鈴木運輸株式会社,2022-07-15,岩手県大島町竜泉18丁目19番6号,710-36-8310,nanami85,松本 真綾,yuitanaka@hotmail.com,296,89.433004,-49.574279
A+,1637,Drubin,2019-05-07,"Löchelgasse 15-34, 15354 Jessen",767-71-6548,steuerrebekka,Anne-Rose Linke,conradijacob@yahoo.de,595,19.707885,127.507018
AB+,1485,Bignami-Vento e figli,2018-12-06,"Borgo Zaira, 21, 14058, Sessame (AT)",CHTLDN75R51A039N,cristinamontecchi,Piersanti Vasari-Scarlatti,xabatantuono@alice.it,604,-61.4497035,-148.771403
A-,193,有限会社田中印刷,2021-03-17,山口県品川区脚折35丁目13番8号,205-12-9973,mai91,清水 涼平,yutafukuda@hotmail.com,569,72.930657,93.863464
AB+,490,太田通信有限会社,2021-01-13,,139-59-9439,hwatanabe,山本 翔太,rei80@yahoo.com,571,-24.977947,175.244713
AB-,2127,Pruschke,2021-12-30,"Neureutherstr. 21, 81295 Werdau",013-70-5692,arogner,Maximilian Hecker,eheinz@gmail.com,464,55.9972185,-155.304689
A+,943,佐藤情報合同会社,2022-09-14,香川県千代田区渡辺13丁目14番3号 クレスト北青山932,250-51-6819,ninoue,福田 知実,kimurakumiko@yahoo.com,250,74.809114,166.248892
AB+,589,合同会社橋本鉱業,2023-04-21,岐阜県東大和市渡辺21丁目17番12号 コート五味ヶ谷171,277-70-6633,naoto41,佐藤 翔太,ksato@gmail.com,40,74.850886,35.324769
AB+,467,Sampaio Mendes - ME,2019-05-27,"Fazenda Manuella Sá, 99, Vila São Rafael, 04367196 Mendonça / PR",74681092304,alanadias,Cecília Oliveira,mariahferreira@ig.com.br,635,18.4940485,-36.984425
O-,607,株式会社橋本水産,2018-12-23,静岡県長生郡一宮町北上野14丁目4番20号,799-34-9900,ksato,藤原 康弘,naokoishikawa@yahoo.com,205,-42.4973035,6.277972
O-,860,佐藤農林合同会社,2020-10-12,沖縄県横浜市栄区西神田41丁目15番7号 富久町パレス234,664-38-2047,zsakamoto,近藤 稔,eokamoto@yahoo.com,200,-81.115175,-144.27085
B-,1886,"Scaramucci, Sagese e Abatantuono s.r.l.",2022-06-08,,MCCNCI36S70F315G,barberiniromolo,Hugo Bresciani,gioacchino36@libero.it,735,-42.1279225,23.574473
A-,1173,"Terrell, Stokes and Townsend",2020-05-02,"62252 Burton Fall, East Stephenview, OK 58880",192-28-4744,blackburnchristopher,Dr. Theresa Johnson,brianna79@yahoo.com,274,-36.0893135,-26.126453
A+,1365,株式会社高橋保険,2023-03-24,,806-20-8727,rmatsuda,田中 京助,naoki55@yahoo.com,373,-23.730628,-31.786684
B-,567,"Jones, Cooley and Vaughn",2021-05-22,"74359 Rose Well Suite 793, Ewingtown, ID 44467",732-35-5011,joshua14,Rhonda Hancock,williamtaylor@hotmail.com,331,26.4198855,94.121797
B-,1772,Costela - ME,2021-07-03,"Favela Sousa, 4, Lorena, 87002-593 Almeida / TO",83046915233,vdas-neves,Maria Laura da Rosa,portomaria-isis@ig.com.br,244,-15.254485,-115.407952
A-,1039,合同会社松田運輸,2024-09-11,鳥取県長生郡一宮町四区町4丁目16番14号,331-41-5569,manabu94,山田 裕太,manabu24@yahoo.com,102,27.035297,99.612923
B+,885,House-Ramirez,2020-11-14,"72421 Lynch Loop Apt. 791, Grimesborough, PR 19759",173-12-6345,colemanamy,Robert Gibson,michael74@gmail.com,122,-20.68562,-155.936611
AB+,2152,Câmara Montenegro e Filhos,2018-10-07,"Estrada Brito, 86, Lajedo, 43089-621 Vasconcelos da Praia / GO",16257439043,aurora99,Catarina Casa Grande,costelajuan@ig.com.br,604,-34.4390295,-132.685014
A-,593,佐藤ガス株式会社,2021-01-16,,030-27-6957,tanakayosuke,伊藤 舞,taro46@gmail.com,526,45.364084,16.144002
O+,1551,近藤印刷株式会社,2025-02-12,神奈川県三鷹市上吉羽28丁目6番17号,186-02-4902,akemi49,遠藤 太一,yuifujita@yahoo.com,96,-87.800411,33.290238
A-,247,"Collier, White and Maldonado",2025-08-10,"77262 Clark Burg Apt. 614, New Kennethshire, LA 14560",884-69-3880,jeffrey04,Shane Brown,kimberly79@yahoo.com,35,61.697077,-172.218962
A+,1571,Perez Ltd,2023-06-24,"9138 Walters Mall, Thomasshire, ME 47366",620-55-8058,johnharris,Timothy King,jomiller@yahoo.com,512,30.5627235,-119.074121
B+,276,Cichorius Stiftung & Co. KG,2021-01-07,"Holtring 4-2, 98156 Wertingen",913-05-8107,gunpfhagen,Luzia Sölzer-Grein Groth,heinzliliana@gmail.com,131,-73.341517,50.329267
A-,1785,Rocha-Stewart,2024-11-08,"9410 Dawn Flat, Taylorbury, DE 81507",586-04-3983,gcruz,Jerry Palmer,laurieharris@gmail.com,608,-77.107853,-40.654632
A+,1528,Jones-Smith,2020-05-06,,881-21-7111,uphillips,Amber Berger,cartercarol@gmail.com,516,52.20407,-135.350119
A-,2127,Burton and Sons,2024-02-18,"322 Dylan Parks, Morganton, SC 17354",288-77-4567,bellwalter,William Barber,jessicabrown@gmail.com,125,72.7703805,145.870503
O-,1150,Armani-Raimondi SPA,2019-02-14,"Rotonda Ninetta, 540 Appartamento 2, 39053, Bluma (BZ)",MSTTNI61L29B054A,mserlupi,Tiziano Toscani,bovaantonino@libero.it,739,-32.901294,163.854298
AB+,1245,株式会社小林電気,2024-08-06,滋賀県横浜市都筑区箭坪39丁目20番20号 猿楽町アーバン656,561-97-5947,gabe,西村 知実,kanayamamoto@hotmail.com,204,1.071196,24.813525
O+,779,株式会社田中印刷,2018-11-02,山口県いすみ市松石17丁目12番12号 コート下宇和田114,803-53-1974,maitakahashi,田中 健一,itomomoko@hotmail.com,117,-9.216373,77.97404
A+,1664,Moreira,2022-09-12,"Condomínio Macedo, Alto Caiçaras, 64675900 Melo / BA",81647025362,luigi10,Luiz Henrique Rezende,pachecoluiz-gustavo@uol.com.br,713,48.5555005,69.775903
B+,1553,Herrera LLC,2020-08-30,"179 Jennifer Inlet, Williambury, NE 80572",049-64-8727,wilsonmichael,Brian Brooks,crystalhill@hotmail.com,190,-32.2231625,145.125914
O-,1977,Dehmel,2021-08-13,"Hans-Adolf-Carsten-Platz 7-1, 24529 Hansestadttralsund",517-74-5296,qhiller,Michelle Jacob,geisslerliesel@aol.de,15,-43.016818,151.501216
B-,1091,"Montgomery, Mccormick and Small",2021-02-16,"74006 Nicole Gardens, Lake Erin, AS 55297",039-54-5386,beckerjoseph,Audrey Browning,obarnes@yahoo.com,45,-17.809122,118.503697
O+,734,"Leoncavallo, Mastandrea e Solari s.r.l.",2024-12-12,"Contrada Marconi, 61 Appartamento 60, 39012, Untermais (BZ)",CHDSTN57T07D843S,bevilacquasimonetta,Raffaello Spanevello,vittorio10@hotmail.it,537,16.98567,-44.726336
O+,305,Pelli-Tamburello s.r.l.,2024-10-31,"Stretto Vincentio, 37 Appartamento 28, 61044, Chiaserna (PU)",PRNVNC37H52I185X,livia13,Alessia Casarin,mastandreamauro@gmail.com,640,62.0934865,-77.406025
AB-,1698,Carsten AG & Co. OHG,2024-11-05,"Ehlertallee 4360, 23465 Miesbach",044-82-9377,wbutte,Hans-Günter Atzler,muelichenyilmaz@aol.de,145,71.8639245,60.142301
AB-,731,Roman-Rose,2020-10-15,"29365 Cooper River Suite 468, North Douglas, WA 44135",397-89-2142,hmurphy,Brenda James,nealjeffrey@hotmail.com,129,-60.7365105,144.358811
A+,1843,有限会社佐藤情報,2020-12-17,奈良県夷隅郡大多喜町千塚18丁目26番13号,528-81-2924,yoichikondo,加藤 あすか,mikiyoshida@yahoo.com,225,59.1798915,-170.005558
A+,1696,Vasconcelos,2021-07-21,"Morro de Aragão, Alípio De Melo, 40688-436 Guerra / RS",48763509148,benjamim07,Léo Garcia,caroline62@ig.com.br,625,69.149718,75.72835
O+,1854,Maffei SPA,2019-03-25,"Canale Coardi, 155 Piano 2, 16126, Genova (GE)",FLRRLD96H57D132D,maurilio60,Vittorio Pigafetta,torquato10@fastwebnet.it,71,74.2846135,-95.28846
B+,1946,Williams-Cox,2019-10-08,"378 Anna Lane, Tiffanyview, MT 08212",585-18-9191,qtanner,Gabriela Williams,ieverett@gmail.com,507,66.295891,161.861745
O+,2018,Brito Correia Ltda.,2025-05-26,"Jardim de da Conceição, 8, Canaa, 23813513 Correia / CE",29573604892,almeidaluana,Heloísa Sousa,ana-livia80@uol.com.br,673,-72.272291,47.728091
A-,317,Bianchi s.r.l.,2025-08-28,"Vicolo Giulio, 9 Appartamento 1, 25044, Capo Di Ponte (BS)",RRONNI16L56L023Y,gianfranco93,Giulietta Balbi,einaudidante@live.com,305,12.2243975,175.65666
B-,960,"Spencer, Ball and Mitchell",2019-05-14,"478 Livingston Station, North Mary, AL 56136",546-88-8441,michael11,Teresa Chavez,alanmartin@hotmail.com,163,-75.3280465,161.803589
O-,748,伊藤情報有限会社,2022-10-14,島根県新島村皇居外苑1丁目18番18号 コート百村693,885-31-2603,tanakakaori,森 里佳,saitomaaya@hotmail.com,157,57.839861,100.957879
A-,1000,鈴木電気合同会社,2023-06-25,和歌山県調布市方京8丁目14番13号,329-88-1027,manabu98,高橋 治,tsubasa79@hotmail.com,153,-70.2720895,-111.070219
B-,153,有限会社三浦建設,2021-06-14,福岡県目黒区小入35丁目18番3号 アーバン上高野693,344-43-7419,satomiyamamoto,吉田 香織,yamaguchitomoya@yahoo.com,692,51.394714,-126.106658
A-,862,Verri-Milanesi SPA,2022-09-05,"Borgo Lidia, 735, 21019, Maddalena (VA)",PGLNZE33B62I126V,antonino46,Nanni Offredi,lucrezia45@yahoo.com,164,77.63627,171.36438
AB-,1896,"Correr, Marenzio e Sabatini SPA",2019-08-26,"Incrocio Luna, 440 Piano 3, 26864, Ospedaletto Lodigiano (LO)",RGGLRA95L11B960E,anichinisergius,Livia Gatto,adele08@gmail.com,573,51.38463,174.282644
B-,992,Mendonça S/A,2021-07-06,"Lago Vitória Gonçalves, 197, Buritis, 56374-891 Souza / SE",05326149761,macedobenjamin,Sr. Luiz Otávio Jesus,fcirino@gmail.com,728,47.347673,178.425862
AB+,989,株式会社加藤鉱業,2023-09-23,徳島県八千代市箪笥町31丁目18番17号 平河町アーバン499,622-58-3916,haruka12,松田 直人,yui73@yahoo.com,585,-74.3747385,-46.964213
B-,907,Hornich,2020-01-26,"Röhrdanzplatz 7, 19331 Görlitz",068-42-4455,beierdolores,Kurt Karge,dietlindmartin@googlemail.com,369,24.941961,132.967916
A-,1490,Rice PLC,2025-04-09,"05126 Santiago Forest, Port Karamouth, NY 70816",550-09-4191,taylorkatie,William Dunn,landerson@hotmail.com,4,84.926552,92.243169
B-,1779,Coardi e figli,2023-05-20,"Piazza Ludovico, 98, 98158, Faro Superiore (ME)",GNNLBT86E55D475G,edonini,Venancio Zaccardo-Ariasso,tvisintini@alice.it,243,-49.601149,-142.176885
A+,1453,株式会社福田電気,2024-05-22,,368-17-1069,moriyoichi,佐藤 千代,naokiyamada@hotmail.com,171,-0.781324,12.100938
A-,171,有限会社斎藤保険,2022-06-03,長崎県横浜市瀬谷区芝公園1丁目8番6号 油井クレスト505,229-10-6340,naotomiura,高橋 幹,yuki59@gmail.com,446,-42.1559915,57.477592
AB+,56,da Costa,2021-11-14,"Sítio Almeida, 99, Vila Copacabana, 27807608 Rios / PA",06537149800,emanuelladias,Maya Carvalho,uda-conceicao@bol.com.br,596,24.8638235,-139.622523
A+,1158,Heß Köhler KG,2020-12-27,"Killerring 617, 37595 Mallersdorf",490-32-6351,jweimer,Aleksej Finke,adlermargarethe@gmail.com,475,,
B+,872,Mcclure-Craig,2020-08-08,"236 Robin Hollow, Port Samuel, UT 61589",357-83-9291,michaelcooper,Christopher Austin,laurie39@yahoo.com,381,-84.7173775,-141.955632
A-,1725,Camargo Dias - ME,2025-01-23,"Via de Moreira, 67, Conjunto Jatoba, 48627-382 da Mata / SC",82907614576,camarakevin,Gabriela Lima,macedojoao-gabriel@ig.com.br,513,-46.535987,-96.74916
B-,1140,Totino s.r.l.,2024-02-24,"Stretto Piero, 7 Appartamento 5, 38013, Fondo (TN)",GGLVRN85H22F173E,paganinitatiana,Sig. Gionata Delle,ssalata@hotmail.com,565,-52.5155055,-20.495608
B-,2090,高橋印刷有限会社,2019-07-08,広島県八丈島八丈町戸島27丁目24番11号 四区町シャルム927,831-78-4197,ctanaka,岡田 太郎,taichikobayashi@hotmail.com,214,-50.5705065,170.291151
B-,986,Aporti-Tebaldi SPA,2025-03-28,"Incrocio Balla, 937, 15011, Acqui Terme (AL)",VSMDMN60C57A089W,grazianoparmitano,Stefania Valentino,dcaccioppoli@libero.it,486,23.1297425,170.166757
A-,213,Radisch Davids KG,2021-02-25,"Filiz-Fröhlich-Allee 2/7, 55380 Lichtenfels",565-75-1381,martine18,William Beyer-Rogge,obecker@gmx.de,24,28.03336,161.382719
O-,871,Pisano SPA,2025-06-16,"Borgo Gabriella, 91, 36013, Piovene Rocchette (VI)",BLBMRN22B07B717A,isasantoro,Cesare Branciforte,ecadorna@alice.it,745,1.6511385,97.941025
AB-,84,"Rogers, Hunter and Barton",2021-08-17,"01516 Drew Rue, Williammouth, FL 43075",059-24-1239,frances69,Amy Davidson,anthonyhodge@hotmail.com,479,79.847914,-154.211788
A-,969,佐々木運輸合同会社,2019-05-19,福井県香取市中三依32丁目17番19号,867-06-4176,yoichi17,林 零,saitoakira@yahoo.com,447,61.5191755,10.798056
A-,373,中島印刷株式会社,2021-07-28,鳥取県横浜市都筑区東神田18丁目15番8号 パーク小入074,610-43-4324,takahashirika,山田 幹,ctanaka@yahoo.com,376,-20.7461155,81.472982
AB+,1630,Nerger KG,2024-07-09,"Heintzeallee 70/13, 88180 Apolda",217-68-9152,cengizbauer,Univ.Prof. Katalin Mielcarek,glinke@yahoo.de,663,-12.8982735,75.714572
O-,638,"Campbell, Jordan and Lozano",2019-09-25,"PSC 9231, Box 1500, APO AE 27240",347-28-9761,jacqueline54,Joseph Ramirez,cherring@gmail.com,236,-40.88845,-143.053116
O+,1448,Oliver-Clements,2025-06-15,"612 Amy Isle, Gordonmouth, AK 13358",012-55-8075,lrivera,Kenneth Higgins,taylor00@yahoo.com,239,60.9480895,70.001493
O+,299,有限会社佐藤通信,2025-06-21,静岡県目黒区権現堂40丁目15番11号 四番町コーポ559,478-04-9960,satominakajima,鈴木 智也,manabu21@yahoo.com,197,44.5625105,-156.14931
AB-,1403,株式会社青木電気,2018-12-22,山形県町田市細野11丁目20番12号 日本堤パーク912,340-90-3129,akira17,坂本 桃子,otasotaro@hotmail.com,318,,
O-,1359,Vercelloni-Campano SPA,2022-06-29,"Via Monaco, 59 Piano 9, 90137, Palermo (PA)",CHPLCN69P05B366J,gsommaruga,Dott. Torquato Bosio,gabriele71@vodafone.it,718,58.1231055,173.945297
A+,978,有限会社山崎鉱業,2022-05-14,沖縄県印旛郡印旛村外国府間4丁目7番7号,510-15-8464,rei47,前田 香織,ltakahashi@hotmail.com,308,45.457121,72.792156
B+,1449,Kallert Boucsein AG,2019-04-10,"Baptist-Schleich-Allee 5/5, 17465 Oschatz",798-71-2458,wrose,Brunhild Klingelhöfer,jhoffmann@aol.de,203,16.783318,-124.325036
O-,747,"Jones, Anderson and Foster",2020-01-26,"586 Aaron Points, Smithbury, KS 94991",502-68-9158,owhite,Justin Tate,smontoya@hotmail.com,422,-58.1458075,-35.286071
O+,1662,株式会社中村水産,2018-10-31,愛媛県青梅市箪笥町31丁目19番12号 松石シティ395,724-52-5702,hidekiendo,小林 春香,ikedataro@hotmail.com,72,-35.697017,134.215632
A+,96,Porto,2025-05-14,,04672839150,alice66,Milena Carvalho,eduardo84@yahoo.com.br,562,-61.410363,-128.687954
B+,1908,有限会社斉藤ガス,2021-02-16,千葉県八丈島八丈町前弥六41丁目10番3号 パレス日本堤096,717-35-0599,qaoki,加藤 英樹,kenichiyamaguchi@yahoo.com,612,0.3087865,-78.173314
AB-,37,Pastor Ltda.,2022-12-21,"Loteamento da Mata, 90, Vila Piratininga, 77204167 Montenegro da Prata / AM",24856197002,ryan41,Giovanna Freitas,maria-fernandacunha@hotmail.com,26,-48.526103,73.218056
AB-,500,das Neves,2020-04-16,"Sítio de da Mata, 9, Novo Tupi, 92374-104 Oliveira / PI",76143025916,ipastor,Matheus Costa,barbara07@hotmail.com,126,78.646516,50.05298
AB-,83,Vasconcelos Mendes - ME,2025-08-04,"Jardim Maria Eduarda Mendonça, 22, Pompéia, 28505-293 Sampaio / DF",52910648702,gaelborges,Sra. Maria Cecília da Mota,andradeleticia@uol.com.br,313,-12.447046,-14.321142
O+,817,"Brooks, Morales and White",2025-01-24,"7290 Shaun Forest Apt. 496, East Benjamin, DC 19134",745-40-6904,masseyjose,John Harvey,jacobsnyder@gmail.com,170,86.8189175,2.78763
B+,1527,有限会社長谷川食品,2025-04-10,石川県八王子市押上42丁目4番12号 コーポ芝公園504,258-89-9912,sakamotoshohei,小川 翼,akirafujita@gmail.com,637,-78.95565,107.090267
O-,1257,Sousa,2025-02-24,"Avenida Ramos, 9, Barão Homem De Melo 3ª Seção, 65341-893 Gonçalves da Serra / RO",86495017375,noah18,João Felipe Ferreira,upimenta@bol.com.br,258,88.0383355,79.443558
A-,1061,Machado,2019-02-02,"Distrito de Cavalcanti, 55, Jaraguá, 33928084 da Rocha dos Dourados / RN",90364218703,ipastor,Henry Gabriel Vieira,emanuelly16@hotmail.com,393,-73.995001,-171.261404
A-,607,Macedo,2022-04-10,"Quadra José Abreu, 957, Vila Tirol, 04388891 Alves de Abreu / SP",62891473078,oborges,Mateus Nunes,enrico53@ig.com.br,485,19.797719,31.959233
AB-,281,Trebbi-Soffici Group,2022-08-12,"Piazza Federigo, 546 Piano 2, 20127, Milano (MI)",JVRDNL01P10G217Q,flavia81,Coriolano Murialdo-Gozzi,scaleraetta@virgilio.it,678,-35.596977,-60.709931
O-,745,高橋ガス有限会社,2024-09-17,,824-75-3340,okadaakemi,清水 明美,endosayuri@yahoo.com,451,-56.0473075,-134.357776
AB+,144,Vieira e Filhos,2020-04-14,,14270869313,vitor16,Ian Duarte,bnascimento@gmail.com,317,87.775985,51.24619
A-,2091,山口通信合同会社,2021-02-03,石川県川崎市中原区三ノ輪18丁目22番4号 芝公園コーポ346,786-06-0190,akemimori,山本 舞,kyosuke88@hotmail.com,587,-26.154584,-115.709777
A+,20,"Guerrero, Castaneda and Bishop",2020-08-02,"0433 Peterson Extensions, Lake Kristaberg, IA 19105",461-51-1416,millerchelsea,Vincent Abbott,joanneorozco@gmail.com,131,,
AB-,1863,Ditschlerin Rörricht Stiftung & Co. KGaA,2025-04-15,"Dippelring 4, 63510 Plauen",230-75-8151,bluemelhans-hermann,H.-Dieter Dietz,gerta26@yahoo.de,270,82.198014,-136.966329
A+,271,Sorgatz Martin Stiftung & Co. KG,2021-05-27,,840-66-1150,alexschacht,Franz Wirth,heidrichcarmelo@gmx.de,403,27.9695115,9.55474
B-,682,Waters Ltd,2020-09-02,"67285 Rivas Dale Suite 214, Danaton, SD 10968",020-11-6492,ywashington,Mrs. Laura West DDS,floresnicholas@yahoo.com,270,-88.781626,76.415923
B-,284,佐藤鉱業有限会社,2020-07-25,山梨県東久留米市戸島25丁目19番13号 コーポ中三依848,785-19-4691,asasaki,太田 晃,kazuya43@gmail.com,289,-44.7999635,-137.322582
A-,797,Pinto Costela S/A,2021-09-20,"Sítio Leonardo da Costa, Gutierrez, 74440383 Novais do Oeste / DF",47896231573,carvalhomaria-clara,Marcelo Casa Grande,amandacirino@bol.com.br,627,11.493376,-25.562009
O+,1481,株式会社小林鉱業,2024-12-12,宮崎県川崎市高津区日比谷公園23丁目26番14号 ハイツ北青山661,319-04-3502,wsato,中村 太一,yoko23@gmail.com,626,68.595008,108.591599
AB+,991,Juncken GmbH & Co. KG,2019-05-18,"Gröttnergasse 98, 71791 Ebermannstadt",212-69-7166,pechelilka,Hans-Günther Schomber,victormeyer@gmail.com,520,18.688648,-66.76981
AB-,1480,福田鉱業有限会社,2022-11-20,山口県横浜市南区上野公園30丁目7番1号 北上野クレスト001,332-85-2500,takahashikazuya,鈴木 裕美子,sotaro00@yahoo.com,211,35.998254,34.366821
AB-,388,Gieß,2024-11-28,,660-68-0226,marzena31,Univ.Prof. Willfried Preiß,steymarvin@gmx.de,305,-9.5665835,97.88197
B+,1119,Morosini Group,2022-10-03,,TNSGLN00E14I126D,bernardo81,Simone Tognazzi,yturati@libero.it,208,20.1996735,-47.893514
A-,1752,Ruppert Stiftung & Co. KG,2021-07-04,"Zimmergasse 87-58, 73803 Eisenhüttenstadt",586-51-0846,erdmute75,Martha Gröttner MBA.,karlheinzloechel@yahoo.de,639,-31.9054805,93.234345
A+,1911,da Mata,2024-09-07,"Ladeira Otto Nunes, 90, Pedreira Padro Lopes, 94883778 Mendonça / GO",23748906196,murilo50,Maria Luiza Albuquerque,benicio02@yahoo.com.br,675,-51.51819,-27.658941
AB-,24,Rezende,2023-06-12,"Área Emanuel Cunha, 93, Alto Dos Pinheiros, 62758090 Silveira / RO",03657918221,luiz-fernandocunha,Ana Liz Araújo,luigi87@bol.com.br,469,-23.776025,-110.460517
O+,414,"Pizzo, Tartini e Delle e figli",2020-06-23,"Canale Schiavo, 47 Piano 2, 75027, San Giorgio Lucano (MT)",LVTMRN64L08H752S,raimondopiane,Claudio Oliboni,tonia65@live.com,63,76.34041,141.811792
AB-,1655,Flantz Wähner GbR,2021-04-05,"Beckmannring 14-68, 94069 Eckernförde",705-14-6600,gdrewes,Frau Henriette Ullmann MBA.,mohammed01@web.de,25,80.136568,-159.681476
AB-,248,Collina Group,2020-12-03,,PRSGVN03A29I779M,giuliomonti,Annalisa Trapanese-Scalera,tiziana31@fastwebnet.it,616,-89.709259,50.81025
A-,998,Gilardoni SPA,2018-11-25,"Contrada Mastandrea, 51 Piano 7, 28922, Verbania (VB)",PDRCRL58L67M365R,zbajardi,Dott. Ezio Mondadori,angelica08@tele2.it,298,-37.057917,14.947123
B+,1451,合同会社阿部食品,2024-12-15,三重県昭島市羽折町21丁目17番17号 ハイツ渡辺444,553-52-4573,satojun,中村 翼,hiroshiyamada@yahoo.com,110,56.0624935,-59.331076
O-,1103,Pärtzelt KG,2024-12-29,"Putzplatz 9-1, 50058 Eisenberg",967-17-7497,helma99,Ron Hofmann,susannejaekel@web.de,223,51.185614,154.690543
A+,1543,das Neves Aragão - EI,2021-05-26,"Área de Sales, 28, Santa Maria, 11934876 Melo Grande / DF",67904385139,souzaemilly,Sofia Camargo,viniciusbrito@yahoo.com.br,49,-44.4721525,162.956998
O+,277,"Marangoni, Pastine e Pergolesi SPA",2021-01-29,"Strada Dario, 65 Piano 0, 95018, Riposto (CT)",BRBFRC24B43H804J,fabriziafusani,Adelasia Veneziano,adele94@tin.it,126,26.108092,-141.73753
O-,323,Araújo,2022-05-14,"Núcleo Farias, Capitão Eduardo, 97776585 Araújo / PI",25037164826,vargaspietra,Manuela Moraes,emillyvieira@yahoo.com.br,520,,
B+,378,合同会社井上農林,2021-07-18,兵庫県品川区丹勢33丁目10番19号 東大和町パレス461,060-19-8322,maayasaito,佐藤 幹,itotaro@gmail.com,604,39.1725765,-132.475021
B+,1931,Pires Cardoso - ME,2024-06-22,,58064372135,yuri00,Dr. André Porto,theodorosilveira@hotmail.com,568,89.16538,168.55844
AB+,22,Kirby-Rogers,2023-08-20,"702 Page Terrace Suite 521, Figueroatown, MA 00883",387-01-7321,melissa14,Linda Trujillo,qroman@hotmail.com,616,-13.5605925,54.114932
AB+,291,Lübs,2020-07-20,"Reinhart-Heuser-Weg 91-14, 41705 Wetzlar",498-51-8271,kaestersylvio,Trudel Ritter,dzimmer@aol.de,586,68.603167,100.653318
O-,1915,小川水産有限会社,2022-10-18,東京都川崎市多摩区外神田20丁目14番11号 コーポ二つ室017,820-99-5333,ysato,青木 洋介,ogawaharuka@yahoo.com,229,-7.1929655,159.218787
O+,1083,有限会社鈴木運輸,2025-02-28,神奈川県小笠原村橋場9丁目27番19号 パレス南赤田736,678-32-4092,yokokato,藤原 洋介,shimizunaoko@gmail.com,499,10.374898,139.995825
AB-,1745,"Badoglio, Nitti e Trincavelli SPA",2022-02-08,"Vicolo Luciana, 431 Appartamento 56, 50132, Firenze (FI)",RBBNNR13A21E992A,lgaluppi,Concetta Donatoni,gpalombi@gmail.com,133,11.1248065,-169.613541
AB-,1371,Jesus,2025-06-10,"Loteamento Alexandre Vieira, 48, Mineirão, 65359-770 da Mata da Mata / PI",87913650230,qoliveira,Cecília Guerra,monteiroraquel@uol.com.br,714,17.778569,-29.911886
A+,1600,Heß,2019-02-05,"Zbigniew-Lindau-Platz 9-3, 99091 Dessau",706-60-7416,fabian28,Univ.Prof. Margaret Blümel MBA.,heinrichkemal@yahoo.de,341,-0.547389,61.517817
A-,1131,Filzi Group,2021-12-26,"Rotonda Beppe, 0 Piano 5, 45014, Villaregia (RO)",GRTGNT58L62I486L,susanna39,Margherita Roero,giovanniballa@gmail.com,148,70.9678805,-51.92758
A+,1582,Hunter-Brooks,2021-05-07,"92859 Edwin Lake Apt. 147, Lake Jaychester, FL 60627",103-82-7745,yfisher,Jacob Garcia,crystalporter@hotmail.com,350,45.6410075,6.607656
B-,503,Silveira,2023-10-13,"Quadra de Aragão, 80, Jardinópolis, 20735-947 Moraes de Minas / PE",26409713525,wgarcia,Danilo da Mata,ualmeida@ig.com.br,375,-64.8538345,-172.880854
O+,1625,"Piccinni, Cadorna e Agazzi e figli",2018-09-30,"Incrocio Filippo, 240, 15058, Viguzzolo (AL)",CRQSTL06P08E253R,albertoemanuelli,Dott. Sole Brambilla,bernardo14@gmail.com,682,-61.3417055,-131.088739
O+,348,Hölzenbecher Thanel KG,2019-07-31,"Rosina-Baum-Weg 65/99, 64452 Soest",298-48-2967,walli11,Antje Beckmann,ntintzmann@googlemail.com,701,2.8208935,-91.644321
O+,1891,Johnson-Adams,2022-10-22,"745 Ramos Glen, Josephfort, DE 29821",357-77-4632,whitney24,Krystal Boone,jeffreystrickland@yahoo.com,119,52.6675475,-29.200874
AB-,912,Travaglia SPA,2018-10-07,"Stretto Armando, 9, 13875, Ponderano (BI)",SRFRMI29M14H781D,nporzio,Isa Turchi,puccio86@live.com,455,43.5637455,-35.826884
AB+,394,Wilson LLC,2024-08-29,,068-53-6682,brittanybutler,Thomas Sharp,bowmancassandra@gmail.com,246,81.173414,2.31204
AB+,631,有限会社渡辺水産,2023-03-20,愛媛県横浜市鶴見区南赤田1丁目7番12号,470-53-4299,kazuya28,鈴木 あすか,nakajimaosamu@gmail.com,20,7.8439795,-36.808813
A-,363,"Bush, Whitaker and Watkins",2024-02-09,"963 Aaron Roads Suite 368, North Sarahfort, MI 87516",858-14-3092,cheryl21,Calvin Gonzalez,foxlisa@yahoo.com,258,31.699177,115.579143
B+,2146,鈴木水産有限会社,2020-01-24,福岡県板橋区日本堤4丁目17番1号,021-20-2096,ykobayashi,橋本 あすか,watanabenaoki@yahoo.com,334,-63.338662,-26.566635
B+,1204,合同会社井上銀行,2023-07-29,石川県墨田区東上野24丁目8番11号 アーバン高輪301,015-28-1397,naotoendo,山口 七夏,chiyookamoto@hotmail.com,649,-17.2677345,38.402819
