blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
B+	1177	Chittolini SPA	2021-01-16	"Canale Delle, 88 Appartamento 19
39050, Ums (BZ)"	Media buyer	LNUBRT89S41D256D	vfinetti		Sig.ra Alina Smirnoff	(Decimal('22.104064'), Decimal('-108.846357'))	rubbiaarnaldo@virgilio.it	676
AB+	1227	Charles-Schwartz	2023-09-23	"9104 Davis Ports
Griffithmouth, NC 27803"		060-09-5194	andersonwayne		Jessica Miller		wrightlauren@hotmail.com	510
O+	662	株式会社中村銀行	2019-06-28	岡山県板橋区無栗屋29丁目11番14号 鳥越シティ442		380-80-1578	haruka83		藤原 千代	(Decimal('-65.546858'), Decimal('179.700069'))	hanakoito@gmail.com	397
B-	1008	Abreu Correia - ME	2024/03/01	"Via de Moreira
Vila Havaí
04258316 da Luz das Flores / RR"		56380249133	bernardopeixoto		Otávio Nunes	(Decimal('-47.4155955'), Decimal('12.499688'))	sousajoao-pedro@uol.com.br	315
B-	766	Plath Vollbrecht OHG mbH	2024-04-09	"Trubinstraße 67
47977 Neu-Ulm"		422-90-9186	hamannpatric		Univ.Prof. Abdul Kallert B.Eng.	(Decimal('32.910581'), Decimal('-109.888484'))	pascal43@yahoo.de	201
AB-	1392	Garcia e Filhos	2022-09-17	"Chácara Lunna Marques, 16
Horto
39277-584 Freitas / PR"		34128709514	alexandresa		Anna Liz Martins	(Decimal('27.671044'), Decimal('-30.579722'))	goncalvesgustavo-henrique@bol.com.br	315
B+	1039	近藤通信有限会社	2020/03/11	島根県横浜市緑区柿木沢新田15丁目27番14号		192-86-1073	maihayashi		加藤 聡太郎	(Decimal('20.372480'), Decimal('-45.857157'))	ikedakana@hotmail.com	400
B+	466	Brito	2025-03-07		Coloproctologista	95308672121	lopesyan		Levi Azevedo	(Decimal('-30.491568'), Decimal('-40.813196'))	aliciada-mota@gmail.com	416
AB-	1859	Fantoni, Golino e Zarlino s.r.l.	07/28/2024, 00:00:00	"Incrocio Pistoletto, 5
34141, Trieste (TS)"		BMPMCL85R67D547F	irma78		Sonia Rossellini	(Decimal('19.437258'), Decimal('-83.193405'))	salvidallara@tiscali.it	48
A-	819	Freudenberger GmbH	2023-12-03	"Heckerallee 187
55446 Wanzleben"		046-92-1029	siegrid41		Eleni Bähr	(Decimal('32.1160265'), Decimal('-7.379635'))	lpaffrath@gmx.de	162
AB-	459	Thompson, Boyd and Perez	2025/09/07	"253 Huff Roads Suite 592
Mauriceview, AS 76235"		244-90-3678	parkdeborah		Mallory Baker	(Decimal('51.021252'), Decimal('48.017110'))	pturner@gmail.com	552
O+	327	Otto	04/11/2023, 00:00:00			011-38-7219	beyerpaul		Herr Thomas Stolze	(Decimal('-57.056470'), Decimal('21.192784'))	wenke30@hotmail.de	50
B-	1281	斉藤運輸株式会社	04/20/2021, 00:00:00	長野県日野市丸の内ＪＰタワー29丁目14番19号 月島コーポ870		820-70-8600	yogawa		藤井 直子	(Decimal('-46.113630'), Decimal('68.864323'))	satomimiura@hotmail.com	426
B-	740	Pölitz Mentzel OHG mbH	21 Oct 2020	"Petros-Flantz-Straße 3-7
81795 Artern"	Binnenschiffer	832-17-9507	ludgereigenwillig		Inna Budig	(Decimal('37.2552835'), Decimal('151.741387'))	manja65@web.de	37
A+	696	Pascarella-Napolitano s.r.l.	13 Oct 2020		Insurance account manager	GRGDRA17H01C588U	ygiannuzzi		Fortunata Barcaccia	(Decimal('50.1207225'), Decimal('75.166237'))	ferrarisalfredo@virgilio.it	321
O+	1968	Drub	12 Jul 2022	"Thomas-Wagner-Platz 41/83
01637 Augsburg"		703-52-3597	atzlerdonald		Loni Kaul MBA.	(Decimal('80.6699765'), Decimal('-34.913523'))	ilhanschaefer@aol.de	210
B+	15	Zaccagnini, Gangemi e Lancisi SPA	07/09/2019, 00:00:00	"Incrocio Ippazio, 89
06100, Perugia (PG)"		VGRPMP38A69I981W	uscarpetta		Sig.ra Annetta Belletini	(Decimal('-48.559465'), Decimal('51.564343'))	sagesesilvestro@vodafone.it	253
O-	340	有限会社中村運輸	25 Mar 2021	宮崎県あきる野市松石36丁目13番5号 コーポ竜泉038		392-54-7080	tanakarika		渡辺 裕美子		ysuzuki@yahoo.com	650
AB-	1561	Rodrigues	2023/09/06			45790213804	almeidarodrigo		Cauê Guerra	(Decimal('-31.7119025'), Decimal('-84.734901'))	bernardo75@ig.com.br	163
O-	892	松本農林合同会社	04/01/2022, 00:00:00	兵庫県西東京市猿楽町23丁目6番9号 パレス上吉羽913		610-19-5714	yoko72		佐藤 明美	(Decimal('-51.4876105'), Decimal('-110.981976'))	yosukeabe@gmail.com	663
O-	177	渡辺食品株式会社	05/06/2022, 00:00:00	富山県山武郡芝山町大京町8丁目9番15号 シティ浅草455		743-51-2956	mikinakagawa		石井 裕太		satorika@gmail.com	308
B+	533	有限会社高橋鉱業	2022-09-10	和歌山県稲城市麹町14丁目16番20号 前弥六パーク818	大学教授	134-61-1410	nakajimakazuya		佐藤 美加子	(Decimal('-82.722711'), Decimal('119.164787'))	shimizuyui@gmail.com	728
B+	2124	Fernandes - ME	01 Jan 2023	"Conjunto da Conceição, 51
Milionario
10104-743 Alves / AP"		97603814510	isis71		Agatha Pereira	(Decimal('-23.862428'), Decimal('7.329801'))	cnovaes@uol.com.br	234
B+	81	Mennea Group	2020-08-30	"Vicolo Ninetta, 28
84024, Contursi Terme (SA)"	Mudlogger	TRMCPN47A44E479I	ltrobbiani		Dott. Giosuè Papafava	(Decimal('-19.969025'), Decimal('-153.561626'))	psaraceno@live.com	190
O-	1909	Lindner	03 Jun 2020	"Jadwiga-Birnbaum-Allee 4924
12653 Riesa"	Fachinformatiker	761-84-0867	heinz-dieter45		Mohammad Hermighausen	(Decimal('40.0508415'), Decimal('119.097567'))	ortmannkarl-heinz@googlemail.com	10
A-	2114	Brugnaro Group	2024/08/24	"Rotonda Interminei, 0
21062, Osmate (VA)"		FFRGNR07S68L400F	brambillafredo		Virginia Basso-Treccani	(Decimal('-82.843230'), Decimal('43.854979'))	deleddacoluccio@virgilio.it	494
B-	2046	Montenegro Novaes e Filhos	2019/03/26			25637419043	sarah50		Maria Luísa Barbosa	(Decimal('36.5840945'), Decimal('-25.737947'))	beniciomachado@yahoo.com.br	333
B+	1866	Oliboni e figli	26 Apr 2024	"Piazza Luchino, 740
24055, Cologno Al Serio (BG)"		RMLLRT48P21G634N	romolosalvini		Graziella Marazzi	(Decimal('67.198164'), Decimal('179.303126'))	cundarimatilda@tiscali.it	614
A+	287	Liguori, Borroni e Vendetti s.r.l.	01 Oct 2020	"Borgo Poerio, 588
88835, Roccabernarda (KR)"		FNTMRL64B67B592L	clovato		Sig. Micheletto Natta	(Decimal('-22.878917'), Decimal('151.059538'))	onavarria@fastwebnet.it	314
AB+	321	Duncan, Bush and Acosta	12/21/2023, 00:00:00	"335 Laura Junctions
West Bradleyshire, MS 73163"		812-19-8033	andreagibson		David Bell	(Decimal('22.379666'), Decimal('23.701507'))	jimenezryan@hotmail.com	139
AB+	1399	Moore, Walker and Lopez	27 Mar 2022	"33191 Tina Pine
Sweeneystad, NC 93813"		662-32-4365	ypalmer		Marc Atkinson	(Decimal('4.513337'), Decimal('-143.496496'))	heatherbrown@yahoo.com	152
A-	1102	Williams, West and Adams	2021-08-29			737-92-2162	andrea66		Vincent Smith	(Decimal('-78.159408'), Decimal('-52.419548'))	joshuacastillo@yahoo.com	243
B-	457	Meyer Schenk GbR	2018-09-29		Mechaniker	733-21-9123	thekla57		Dipl.-Ing. Traude Wesack MBA.	(Decimal('13.9554285'), Decimal('-98.849123'))	bauerlaura@googlemail.com	438
B-	303	合同会社太田鉱業	2022-10-07	東京都長生郡長柄町西川10丁目8番20号	医師	748-85-0307	mikakowatanabe		中川 結衣	(Decimal('42.9532415'), Decimal('-146.590908'))	ryosukemurakami@gmail.com	217
A+	1362	吉田建設有限会社	2023/02/25			773-06-8317	tomoya99		高橋 直樹	(Decimal('44.2932285'), Decimal('81.416031'))	uyamamoto@hotmail.com	483
O-	230	Novak, Medina and Long	29 May 2024	"1982 Smith Manors Apt. 155
South Frank, DC 88191"		380-67-3163	joshua94		Curtis Sparks	(Decimal('42.2629285'), Decimal('-147.461571'))	nelsonmargaret@gmail.com	575
AB+	352	Krause	2025/06/09	"Georgia-Roskoth-Weg 3/9
48259 Koblenz"	Pfleger	365-82-0317	wkraus		Miguel Dörr	(Decimal('-20.4149425'), Decimal('92.114524'))	kargeedelgard@hotmail.de	56
O+	963	Albuquerque	2024/07/25	"Rodovia Isadora da Rocha, 91
Confisco
07050-526 Nascimento de Moura / RO"	Engenheiro de telecomunicações	50173942652	maria-flor33		Ana Barbosa	(Decimal('2.462174'), Decimal('-73.302383'))	lavinia97@ig.com.br	658
O-	2041	Tomei, Bonino e Ricciardi s.r.l.	01/31/2025, 00:00:00	"Contrada Ioppi, 8
38050, Monte Di Mezzo (TN)"		SFFVNC50B56B525F	viridianasquarcione		Arsenio Chigi-Fallaci	(Decimal('-53.8447895'), Decimal('-79.626851'))	fabrizio13@libero.it	733
A+	176	Gray-Cervantes	05 Feb 2025	"352 Mullen Spurs Apt. 593
South Joshuahaven, WY 89398"		789-89-0476	taylor96		Jessica Carroll	(Decimal('60.9254785'), Decimal('129.983844'))	jasonbennett@gmail.com	338
AB-	633	Meister Seidel AG	02 Oct 2018	"Hermighausenweg 4-7
27436 Potsdam"		154-88-9258	estahr		Dr. Anny Ullrich	(Decimal('-8.5955365'), Decimal('-55.876225'))	tuelay40@web.de	650
O+	1034	Baroffio, Solari e Fornaciari s.r.l.	2022-05-12	"Viale Annalisa, 65 Appartamento 7
73014, Gallipoli (LE)"	Embryologist, clinical	TRVFLV89M57F672P	micheletto07		Melina Morgagni	(Decimal('88.2530665'), Decimal('32.828287'))	oreste67@tiscali.it	691
O+	850	Fischer	2024/09/09	"Rädelstraße 31/52
49406 Oberviechtach"		025-45-7669	hannyweinhage		Monja Gute	(Decimal('76.338969'), Decimal('167.117299'))	xbecker@hotmail.de	4
B-	1874	Bähr GmbH	10/21/2019, 00:00:00		Polizist	722-15-0458	siegward66		Florian Mentzel	(Decimal('86.3055115'), Decimal('64.076899'))	eliasruppert@web.de	45
O-	1255	Weinhage Christoph Stiftung & Co. KG	08/29/2019, 00:00:00	"Rognerallee 4-8
31982 Greiz"		861-61-9006	nknappe		Eckard Steckel-Seidel	(Decimal('33.9134105'), Decimal('-78.675201'))	rhuebel@gmx.de	511
B-	2149	Casa Grande	2025/03/26	"Rua de Farias
Inconfidência
49219463 Castro de Santos / PA"		70245186344	souzasara		Clarice Camargo	(Decimal('41.2702635'), Decimal('120.672408'))	daviabreu@gmail.com	152
O+	561	Nascimento	2024-11-25	"Favela de Pastor, 41
Conjunto São Francisco De Assis
36665-276 Costa da Serra / PA"		46210358942	camaravicente		Sr. José Pedro da Paz	(Decimal('-64.2874865'), Decimal('56.431511'))	livia31@gmail.com	146
A+	776	Schacht GmbH	03/18/2019, 00:00:00	"Marie-Eckbauer-Straße 8/4
78457 Emmendingen"		992-99-0207	kgerlach		Guido Paffrath	(Decimal('87.074141'), Decimal('2.715906'))	nadabolander@gmx.de	41
O-	1920	Pace-Viola s.r.l.	12/01/2018, 00:00:00	"Piazza Beatrice, 73
43015, Cella Di Costamezzana (PR)"		GNSJLD83E18I779E	lorettacainero		Raffaella Randazzo	(Decimal('-19.2534365'), Decimal('-17.249418'))	perandaeugenia@tim.it	464
A-	875	合同会社渡辺建設	2019-02-12			147-65-0819	suzukihiroshi		中村 美加子	(Decimal('65.1914595'), Decimal('3.820682'))	taroito@gmail.com	367
O+	1334	有限会社加藤銀行	01 Dec 2023	大阪府浦安市花川戸14丁目11番7号 コーポ皇居外苑826		033-13-9387	kyosukeabe		山本 晃	(Decimal('-71.1785905'), Decimal('172.710877'))	sotaromatsumoto@hotmail.com	212
B-	645	Harris, Fernandez and Jones	02 Jul 2022	"8326 Eric Field
West Ericafort, WY 93282"		249-49-2223	mitchellchristopher		Robert Jordan	(Decimal('34.8479375'), Decimal('104.006384'))	jordansantana@yahoo.com	27
A-	1800	Vieira Casa Grande - EI	2022/10/06	"Travessa Ayla Rezende, 847
Esplanada
40249-997 Aparecida de Campos / PB"		87426915085	oliviafarias		Diego Rocha	(Decimal('1.0133055'), Decimal('92.595169'))	cpinto@yahoo.com.br	312
O+	1570	Borges Freitas - ME	2021-11-15	"Residencial Luara Araújo, 22
Horto Florestal
97878841 Araújo / RJ"		69045128730	lucasmendonca		Dr. Otávio Moura	(Decimal('68.7121555'), Decimal('-101.830866'))	ferreiragael-henrique@uol.com.br	371
A+	342	Moresi e figli	09/04/2023, 00:00:00	"Rotonda Pistoletto, 41 Appartamento 6
04013, Sermoneta Scalo (LT)"	Psychotherapist, child	TGNGLT42T25C390Y	sinisiveronica		Ugo Carocci	(Decimal('6.357974'), Decimal('-137.198951'))	hugo95@tin.it	589
O-	1134	Krause Hänel GmbH	2024-04-11	"Luis-Binner-Allee 9/3
04470 Strasburg"	Mathematiker	658-95-6355	pradisch		Hans Dieter Grein Groth	(Decimal('29.496716'), Decimal('-41.609240'))	ruthildklemt@yahoo.de	259
A-	236	Sorgatz	2022/02/03	"Martinstr. 6-2
68657 Riesa"	Erzieher	665-44-0402	obohlander		Sieghard Stiffel	(Decimal('22.4908765'), Decimal('71.749264'))	salzsergej@gmx.de	641
AB+	807	Cruz Inc	2022/12/10		Engineer, electronics	251-75-8289	efuentes		Amber Watson	(Decimal('79.857561'), Decimal('-62.786518'))	leslieatkins@gmail.com	365
B-	545	Bohnbach	25 Oct 2020			225-23-0335	ufaust		Dipl.-Ing. Cora Ackermann B.Eng.	(Decimal('23.872842'), Decimal('87.890130'))	radischbabett@yahoo.de	516
AB-	2006	Peukert AG	08/27/2021, 00:00:00	"Davidsstr. 3
38626 Hansestadttralsund"	Friseur	861-80-9272	maricaheidrich		Silke Thies	(Decimal('67.7477565'), Decimal('161.447206'))	kuno93@gmail.com	408
O+	1207	Gonzales Ltd	15 Apr 2021	"3493 Karen Flat
Lake Angelafurt, VA 07467"		053-03-3623	christopher53		Jessica Vincent	(Decimal('42.6308585'), Decimal('-149.188052'))	harringtonamber@yahoo.com	58
B-	255	Klapp GmbH & Co. KGaA	11/08/2022, 00:00:00	"Kruschwitzgasse 5/8
99003 Sondershausen"		727-92-6276	wernersigmund		Joana Kranz-Süßebier	(Decimal('-3.5337045'), Decimal('66.538356'))	ehoerle@googlemail.com	408
A-	106	Duarte da Costa Ltda.	04/01/2022, 00:00:00	"Alameda de Peixoto, 15
Vila São Paulo
77534-009 Gomes do Amparo / SP"		18624903505	castrovalentina		Luiza Ramos	(Decimal('-75.9684615'), Decimal('76.553107'))	liamsilva@uol.com.br	360
A-	1489	Stiffel AG	2021-06-06	"Peukertstraße 2/3
41040 Wolmirstedt"	Koreanistiker	559-18-8901	wbutte		Inka Liebelt	(Decimal('-14.534283'), Decimal('-9.973483'))	ackermanngitta@googlemail.com	132
A+	2129	Pedrazzini-Peranda e figli	02/27/2020, 00:00:00	"Via Antonino, 10 Appartamento 13
95018, Torre Archirafi (CT)"		VLIPLG65R43D412S	donatellobartoli		Cassandra Pistoletto-Orsini	(Decimal('-80.557664'), Decimal('-62.521120'))	adrianotozzo@libero.it	10
O+	1240	小川情報合同会社	2018/09/26	栃木県夷隅郡大多喜町東三島4丁目14番10号		403-83-3177	ogawaosamu		渡辺 英樹	(Decimal('62.912090'), Decimal('-109.181440'))	efujii@yahoo.com	106
O+	677	Mezzetta, Farinelli e Boldù Group	2023-11-14	"Viale Pratesi, 2 Appartamento 16
21020, Brebbia (VA)"		SLRVNL19P29A369W	antonelliamanda		Dott. Alessandra Peruzzi	(Decimal('53.8518225'), Decimal('28.609822'))	ppalmisano@yahoo.com	71
A-	443	Jones Inc	2020/10/02	"2870 Mcgee Run Apt. 200
Livingstonchester, FM 10329"		439-55-7996	shanehernandez		Beth Richards	(Decimal('31.829673'), Decimal('-65.013202'))	jramos@yahoo.com	333
O-	563	松本情報合同会社	2023-09-28	北海道渋谷区外国府間37丁目14番19号 ハイツ卯の里510		534-39-3236	miki73		遠藤 春香	(Decimal('1.810086'), Decimal('1.743440'))	tito@gmail.com	716
AB-	405	有限会社山本運輸	09 Jun 2024	福井県南房総市東神田26丁目2番17号 上野桜木コート098		771-37-3617	chiyo55		清水 健一	(Decimal('-54.0747045'), Decimal('146.495580'))	sayurishimizu@hotmail.com	718
A-	888	Kerr, Taylor and Hayes	07/28/2022, 00:00:00			392-61-4639	jeremymorgan		Jeanne Ward	(Decimal('-34.913044'), Decimal('104.940908'))	christine97@yahoo.com	538
O-	950	Weimer	22 Dec 2024	"Wendestr. 4/9
86279 Wurzen"		003-46-4223	mmisicher		Prof. Waltrud Roht	(Decimal('-53.980426'), Decimal('93.541923'))	rgertz@gmx.de	296
AB+	709	Argurio s.r.l.	02/23/2025, 00:00:00	"Incrocio Benvenuto, 62 Appartamento 47
90147, Tommaso Natale Sferracavallo (PA)"		CMCPSL72L69G969I	napoleone70		Dott. Marcello Gotti	(Decimal('78.8415545'), Decimal('124.940980'))	bellinieugenia@hotmail.com	19
A-	193	Kuhl AG & Co. OHG	2021/04/10	"Tröstweg 96/88
00272 Schwäbisch Gmünd"		154-37-2637	marie-therese63		Univ.Prof. Rotraut Zimmer	(Decimal('62.0689085'), Decimal('-3.879082'))	ascholl@gmail.com	745
B-	1615	Reyes, Moore and Smith	2022/08/14	"PSC 3364, Box 4946
APO AA 25619"		551-62-2966	joshua27		Robert Rice	(Decimal('-77.959985'), Decimal('-17.503972'))	mary36@hotmail.com	657
B+	1771	Ribeiro	2020/04/08	"Parque de Silva, 419
Itatiaia
59686776 da Cunha / PE"		18602735480	liam06		Srta. Fernanda Siqueira		kevin83@ig.com.br	81
A+	1779	Gute AG	2024-03-30	"Stella-Weimer-Ring 2
36027 Kelheim"		358-62-3894	helmtrud66		Univ.Prof. Karlfried Hellwig B.Eng.	(Decimal('-74.1585555'), Decimal('-108.437739'))	nloewer@web.de	609
AB+	1946	合同会社中島食品	2022-10-12	大阪府新宿区上吉羽14丁目15番6号	裁判官	078-24-9960	ikedakana		小林 康弘	(Decimal('-46.177243'), Decimal('-79.302485'))	atsushi56@hotmail.com	412
AB+	181	Wilson, Wood and Fleming	2019-11-28	"75562 Keith Motorway Apt. 359
Careyshire, MI 99068"		219-84-7951	ggreene		Megan Butler	(Decimal('73.9436845'), Decimal('-93.026450'))	jessicaroberts@hotmail.com	42
AB+	600	Hesse Noack GmbH & Co. KGaA	26 Sep 2022	"Milica-Steuer-Gasse 1-7
94575 Neu-Ulm"		583-00-9267	constantin67		Dr. Wieslaw Barkholz	(Decimal('-71.9689025'), Decimal('24.108594'))	schaeferjanus@gmx.de	535
O+	1950	Guarato e figli	2023/09/02	"Contrada Giacconi, 154
80062, Meta (NA)"		SCHFBZ11P28I316N	graziellacuzzocrea		Dott. Michelotto Baggio	(Decimal('-74.8128635'), Decimal('-46.036277'))	calogero01@libero.it	542
AB-	1202	Geisel	2024/01/01	"Marek-Harloff-Allee 7
46265 Badoberan"		563-86-1136	nathalie58		Herr Ibrahim Jungfer	(Decimal('-53.3515105'), Decimal('125.426775'))	chermighausen@gmail.com	611
A-	1417	Mccoy, Finley and Bonilla	05/31/2022, 00:00:00			162-32-3488	shawnlane		Michael Harmon	(Decimal('56.173232'), Decimal('-149.508199'))	garzajohn@hotmail.com	76
AB-	1249	渡辺情報株式会社	24 Nov 2022	兵庫県長生郡長南町日本堤3丁目1番4号 丸の内コーポ728		305-60-4267	yasuhiro67		高橋 充	(Decimal('-72.0561375'), Decimal('-5.930649'))	reisuzuki@gmail.com	621
AB-	2019	Costa	2021-07-12	"Passarela Costela, 89
Taquaril
93421-382 Cassiano / BA"		28315479628	theo26		Rhavi Machado	(Decimal('58.1162325'), Decimal('114.077807'))	wsampaio@ig.com.br	531
A-	17	Parmitano s.r.l.	09/08/2021, 00:00:00	"Incrocio Ansaldo, 387 Piano 0
86042, Nuova Cliternia (CB)"		VSPNNT18E18A343I	leopoldo80		Fernanda Chiappetta	(Decimal('71.256480'), Decimal('-177.773343'))	mluciani@vodafone.it	563
AB-	64	Alves Abreu S.A.	2025-02-03	"Vereda da Rosa, 70
Pompéia
10500-464 Gomes / AL"	Infectologista	64971582002	wabreu		Ana da Mata	(Decimal('7.5326445'), Decimal('-163.759823'))	idas-neves@ig.com.br	605
O+	672	Reinhardt GmbH & Co. KG	2021/10/25			117-08-9410	gcarsten		Knut Täsche-Grein Groth	(Decimal('-51.789166'), Decimal('-151.355275'))	ackermannmathilde@googlemail.com	460
A-	261	Jäkel GmbH	2025-09-13	"Wolf-Dietrich-van der Dussen-Ring 16/27
64723 Chemnitz"		586-40-5524	jaentschhans-herbert		Goran Schuchhardt	(Decimal('54.272594'), Decimal('-5.843597'))	adolf51@googlemail.com	15
O-	1774	Ackermann GmbH	02/24/2021, 00:00:00			864-01-4613	hannsgroettner		Erdogan Killer MBA.	(Decimal('-48.3869165'), Decimal('51.166819'))	thiesadele@hotmail.de	261
AB-	1975	Moreira	2022-09-28	"Favela da Rocha, 21
Vila Santo Antônio Barroquinha
10883835 Garcia do Campo / PI"		04186295360	joao-lucasmelo		Sra. Heloisa Porto	(Decimal('8.085208'), Decimal('177.717234'))	joao-vitoroliveira@ig.com.br	495
B-	1786	Cavalcante Ltda.	12/10/2024, 00:00:00	"Alameda Benjamim Fogaça, 97
Beira Linha
71735-717 Costa / ES"		39160524707	melotheodoro		Alícia Silva	(Decimal('-18.277801'), Decimal('-135.931973'))	mariahnovaes@uol.com.br	503
O+	769	山本建設有限会社	09/14/2025, 00:00:00		映画監督	397-05-0991	yuta89		遠藤 七夏	(Decimal('-85.384853'), Decimal('41.167467'))	yuki27@gmail.com	422
AB+	506	Johnson PLC	02/13/2024, 00:00:00	"23351 Castro Lake Suite 666
Lake Robertview, UT 28722"		303-86-2071	ypeterson		Brittany Powell	(Decimal('-12.6048905'), Decimal('-102.638991'))	alice75@gmail.com	108
O-	771	Aparecida - ME	02 May 2022	"Travessa Allana Jesus, 9
Serra
76384-144 Peixoto / BA"		43561279007	manuellada-rosa		Eloá Borges	(Decimal('-45.774848'), Decimal('45.852504'))	stephanycamargo@ig.com.br	712
O+	22	van der Dussen	2025/04/15	"Dörschnerstr. 4921
18591 Borken"	Koreanistiker	400-84-4960	hoerlehans-rainer		Dr. Klara Roskoth	(Decimal('84.7075005'), Decimal('178.992441'))	fredericschoenland@web.de	332
AB+	992	Massey, Mcguire and Martin	2021/11/29	"3697 Nancy Center
Lake Tonyaland, MD 40257"	Tour manager	771-68-7464	greenedonna		Sydney White	(Decimal('23.7741885'), Decimal('-104.671042'))	alison11@yahoo.com	723
A-	2128	Souza - ME	2020-09-11	"Núcleo Silveira, 58
Céu Azul
89933-251 Silva / PB"	Dublador	12845069324	paulo32		Dr. Vitor Gabriel Pacheco	(Decimal('69.0294055'), Decimal('-69.374054'))	pintomanuela@gmail.com	736
AB-	1337	田中印刷株式会社	2019/05/17	大分県品川区吾妻橋29丁目2番14号 中三依コーポ804	調理師	477-92-6497	inoueyumiko		鈴木 千代	(Decimal('-80.2024175'), Decimal('-93.089357'))	akirasaito@hotmail.com	147
O+	1801	Rocha	11/06/2021, 00:00:00	"Largo Cavalcanti, 9
Vila São Gabriel Jacui
12803-084 da Costa / AC"		48963521737	fmoura		Yago Pinto	(Decimal('-83.481385'), Decimal('-160.618208'))	ssantos@uol.com.br	339
B+	1995	Mälzer	03 Mar 2020	"Marleen-Renner-Weg 82
59876 Kitzingen"	Drogist	867-64-6733	heinz-wernerjacobi-jaeckel		Maurizio Zirme		kramerrosa-maria@googlemail.com	651
B-	1941	Cassiano Cirino e Filhos	2023-01-25	"Praia Luana Carvalho, 20
Vila Piratininga
46515673 Viana de Andrade / CE"		10483975214	jferreira		Henry Gabriel Lima	(Decimal('89.5243325'), Decimal('49.277913'))	wcamara@yahoo.com.br	492
AB-	679	Hörle	12 Sep 2021			450-18-5487	wloewer		Siegrid Pölitz MBA.	(Decimal('-69.1090245'), Decimal('-76.950754'))	zeynepklingelhoefer@googlemail.com	312
AB+	286	da Cunha	04 Apr 2022	"Avenida Machado, 12
Capitão Eduardo
76363081 Moraes / GO"		74026891313	valentimcasa-grande		Cauê Macedo	(Decimal('58.508329'), Decimal('-158.598227'))	rochabianca@bol.com.br	520
A-	1144	Letta-Righi SPA	06/19/2025, 00:00:00	"Viale Maurilio, 86 Piano 0
36050, Poianella (VI)"		MRCGFR62R71F795W	tarantinomelania		Matilda Comolli	(Decimal('-62.329106'), Decimal('118.310894'))	michelottopagnotto@fastwebnet.it	529
O+	257	Shaw Ltd	2019/10/12	"4390 Jared Hollow
Lake Susanview, DC 07182"		705-14-3984	sharpshannon		Darius Wise		fordashley@yahoo.com	157
B+	214	Baracca Group	2021-08-09	"Contrada Flora, 60
61026, San Sisto (PU)"		NTRLCU62T68D144Z	gianlucaaccardo		Gianluigi Binaghi	(Decimal('30.219669'), Decimal('-144.124873'))	ferraramatteo@gmail.com	3
O-	745	阿部印刷株式会社	15 Dec 2021			591-57-4618	kanainoue		池田 さゆり	(Decimal('-73.263945'), Decimal('-67.468604'))	lwatanabe@gmail.com	28
O+	1980	Moreira	2024-02-23	"Parque Henry Casa Grande, 8
Jardim Do Vale
45519520 Silveira / RS"		21743986050	jsa		Isabelly da Paz	(Decimal('25.072996'), Decimal('95.012847'))	cunhajoao-gabriel@hotmail.com	173
B+	361	Mülichen	2022/09/18		Augenoptiker	661-57-7396	berndtmisicher		Engelbert Jungfer B.Sc.	(Decimal('-14.9964595'), Decimal('-54.706075'))	susann80@googlemail.com	170
AB-	180	有限会社加藤情報	2020/11/07	福島県四街道市京橋34丁目14番2号		750-49-7145	dgoto		鈴木 七夏	(Decimal('-40.6976315'), Decimal('-54.671917'))	kobayashihiroshi@hotmail.com	508
B+	1434	Hauffer KG	2025-07-26			641-52-7560	clarissa87		Diana Wilmsen-Nerger	(Decimal('13.0950845'), Decimal('-51.987576'))	karlheinz25@googlemail.com	411
A-	908	Klapp Krause GmbH & Co. OHG	2019-09-04	"auch Schlauchinstr. 8/8
05718 Vilsbiburg"		455-85-5588	fadimechristoph		Natalija Geisel	(Decimal('30.869760'), Decimal('-91.641162'))	cfoerster@googlemail.com	592
AB+	94	Trommler e.V.	2022-05-29	"Schweitzerstr. 8-9
06962 Finsterwalde"	Friseur	722-26-6015	arthurfritsch		Theresia Schaaf B.Sc.	(Decimal('36.8423505'), Decimal('17.720448'))	oputz@hotmail.de	387
A+	1644	有限会社岡田保険	2022-07-18	滋賀県世田谷区月島17丁目6番13号 コート竜泉701	測量士	086-33-3154	kanamiura		吉田 花子	(Decimal('-19.0368395'), Decimal('14.820593'))	suzukisotaro@hotmail.com	63
B-	1339	Natta-Rienzo e figli	2021/10/05	"Strada Bonomo, 69 Appartamento 1
70014, Conversano (BA)"		BRBRDF63D55H634T	giacobbe77		Gianpietro Comisso-Piccinni	(Decimal('2.4883855'), Decimal('-35.786632'))	cappellipiersanti@tim.it	26
B-	316	合同会社渡辺情報	2020/05/07	奈良県長生郡白子町浅草橋14丁目11番14号 手岡アーバン103		212-77-4303	chasegawa		吉田 修平	(Decimal('4.429251'), Decimal('107.464173'))	haruka17@gmail.com	456
AB-	1144	Beer	2024-11-20	"Dörrgasse 6/6
83512 Wetzlar"		925-02-7834	lwagenknecht		Heiner Hendriks MBA.	(Decimal('-68.0414365'), Decimal('-26.087901'))	jkrebs@hotmail.de	126
AB-	579	Dias	11 Jun 2021	"Avenida de Rios, 2
Casa Branca
18891502 Barbosa / AP"		84527960130	rhavi80		Jade da Paz	(Decimal('26.8284995'), Decimal('-110.350342'))	andre34@gmail.com	682
